OPERATING AGREEMENT	ОПЕРАЦИОННОЕ СОГЛАШЕНИЕ
within thirty (30) Days of the exercise of its option under Article 7.4(C), pay in immediately available funds the full amount due from it under Article 7.5(B) to such Consenting Parties, in the currency designated by such Consenting Parties.	в течение 30 (тридцати) Дней с момента использования своего права, предоставленного ей статьей 7.4(C), выплатить таким Присоединившимся Сторонам полный объем денежных средств, причитающихся с нее в соответствии со статьей 7.5(B), в валюте, указанной такими Присоединившимися Сторонами.
bear one hundred percent (100%) of the cash calls made on each Consenting Party in respect of both Joint Operations and Exclusive Operations until each Non-Consenting Party has reimbursed the full amount due from it under Article 7.5(B).	оплачивать сто процентов (100%) от всех денежных требований, предъявляемых каждой Присоединившейся Стороне в отношении как Совместных Операций, так и Эксклюзивных Операций, до тех пор, пока каждая Неприсоединившаяся Сторона не выплатит полную сумму, причитающуюся с нее в соответствии со статьей 7.5(B).
Unless otherwise agreed, any balance remaining unreimbursed at the end of, or upon a Party's withdrawal from, the subject Exploration Period will be reimbursed by cash payment in the currency designated by the Consenting Parties who took the risk of such Exclusive Operations.	Если не будет согласовано иное, любой остаток, не возмещенный к концу соответствующего Периода Геологоразведочных Работ или в случае выхода из него какой-либо Стороны, подлежит возмещению денежными платежами в валюте, указанной теми Присоединившимися Сторонами, которые приняли на себя риск таких Эксклюзивных Операций.
The due date for any such payment shall be fifteen (15) Days after notice from Operator of the balance remaining unreimbursed.	Срок внесения любого такого платежа составляет 15 (пятнадцать) Дней после получения от Оператора уведомления о наличии неоплаченного остатка.
Unpaid amounts shall accrue interest at the Agreed Interest Rate from the due date until timely paid in full.	На неуплаченные суммы начисляются проценты по Согласованной Процентной Ставке, начиная со срока платежа до своевременной уплаты в полном объеме.
With respect to Parties who are participants in an on-going Exploitation Period, any balance remaining unreimbursed after twenty-four (24) months from the date of the notice under Article 7.4(C) shall be settled through allocation from the Non-Consenting Parties to the Consenting Parties of an additional share of Profit Hydrocarbons, such allocation timed to enable the reimbursement to be completed in not more than thirty (30) months from the date of the notice under Article 7.4(C).	Что касается Сторон, являющихся участниками текущего Периода Геологоразведочных Работ, то любой остаток, оставшийся неоплаченным по истечении 24 (двадцати четырех) месяцев с даты уведомления, направленного в соответствии со статьей 7.4(C), возмещается посредством выделения Неприсоединившимися Сторонами в адрес Присоединившихся Сторон дополнительной доли в Прибыльных Углеводородах, при этом такое выделение проводится в сроки, позволяющие завершить возмещение не позднее, чем через 30 (тридцать) месяцев с даты получения уведомления, предусмотренного статьей 7.4(C).
(D) The Non-Consenting Party exercising its option under Article 7.4(C) shall, in accordance with Article 19, be entitled to all Cost Hydrocarbons derived from reimbursements made under Article 7.5(A).	(D) Неприсоединившаяся Сторона, использующая свое право в соответствии со статьей 7.4(C), имеет право, согласно статье 19, на все Компенсационные Углеводороды, полученные за счет возмещений, осуществленных в соответствии со статьей 7.5(A).
Such Non-Consenting Party shall not be entitled to Cost Hydrocarbons associated with payments made under Article 7.5(B), unless the Contract or any Laws / Regulations require otherwise.	Такая Неприсоединившаяся Сторона не имеет права на Компенсационные Углеводороды, связанные с платежами, осуществленными в соответствии со статьей 7.5(B), кроме случаев, когда Контракт или любые Законы/Постановления предусматривают иное.
Each Consenting Party shall have the right to refuse to accept all or any portion of its share of amounts paid under Articles 7.5(A) and 7.5(B).	Каждая Присоединившаяся Сторона имеет право полностью или частично отказаться от своей доли в суммах, уплаченных в соответствии со статьями 7.5(A) и 7.5(B).
In such case the refused amount shall be distributed to each non-refusing Consenting Party on a pro-rata basis.	В этом случае сумма, от которой отказалась такая Присоединившаяся Сторона, пропорционально распределяется между всеми Присоединившимися Сторонами, не заявившими о таком отказе.
7.6 Order of Preference of Operations	7.6 Порядок определения приоритета операций
(A) Except as otherwise specifically provided in this Agreement, if any Party desires to propose the conduct of an operation that will conflict with an existing proposal for an Exclusive Operation, such Party shall have the right exercisable for five (5) Days (or twenty-four (24) hours for Urgent Operational Matters) from receipt of the proposal for the Exclusive Operation, to deliver such Party's alternative proposal to all Parties entitled to participate in the proposed operation.	(А) Кроме случаев, когда в настоящем Соглашении прямо предусмотрено иное, если какая-либо Сторона желает предложить проведение какой-либо операции, которая противоречит существующему предложению в отношении Эксклюзивной Операции, такая Сторона имеет право, подлежащее использованию в течение 5 (пяти) Дней (или 24 (двадцати четырех) часов по Срочным Оперативным Вопросам) с момента получения предложения о такой Эксклюзивной Операции, вручить свое альтернативное предложение всем Сторонам, имеющим право на участие в предлагаемой операции.
Such alternative proposal shall contain the information required under Article 7.2(A).	Такое альтернативное предложение должно содержать информацию, предусмотренную статьей 7.2(A).
(B) Each Party receiving such proposals shall elect by delivery of notice to Operator and to the proposing Parties within the appropriate response period set out in Article 7.2(B) to participate in one of the competing proposals.	(B) Каждая Сторона, получившая такие предложения, принимает решение об участии в одном из конкурирующих предложений, вручив Оператору и предлагающим Сторонам соответствующее уведомление в срок, отведенный статьей 7.2(B) на направление ответа.
Any Party not notifying Operator and the proposing Parties within the response period shall be deemed to have voted against the proposals.	Любая Сторона, не уведомившая Оператора и предлагающие Стороны в отведенные сроки, считается проголосовавшей против таких предложений.
(C) The proposal receiving the largest aggregate Participating Interest vote shall have priority over all other competing proposals.	(C) Предложение, набравшее в совокупности количество голосов, соответствующее наибольшему проценту Долей Участия, получает приоритет над всеми остальными конкурирующими предложениями.
In the case of a tie vote, Operator shall choose among the proposals receiving the largest aggregate Participating Interest vote.	В случае равенства голосов Оператор выбирает из предложений, получивших наибольшее количество голосов.
Operator shall deliver notice of such result to all Parties entitled to participate in the operation within five (5) Days (or twenty-four (24) hours for Urgent Operational Matters).	Оператор вручает уведомление о результатах голосования всем Сторонам, имеющим право на участие в такой операции, в течение 5 (пяти) Дней (или 24 (двадцати четырех) часов по Срочным Оперативным Вопросам).
(D) Each Party shall then have two (2) Days (or twenty-four (24) hours for Urgent Operational Matters) from receipt of such notice to elect by delivery of notice to Operator and the proposing Parties whether such Party will participate in such Exclusive Operation, or will relinquish its interest pursuant to Article 7.4(B).	(D) Каждая Сторона затем получает 2 (два) Дня (или 24 (двадцать четыре) часа по Срочным Оперативным Вопросам) с момента вручения ей такого уведомления на то, чтобы, передав соответствующее уведомление Оператору и предлагающим Сторонам, принять решение о том, будет ли такая Сторона участвовать в такой Эксклюзивной Операции или откажется от своих прав в соответствии со статьей 7.4(B).
Failure by a Party to deliver such notice within such period shall be deemed an election not to participate in the prevailing proposal.	Ненаправление какой-либо Стороной такого уведомления в отведенные для этого сроки считается решением не участвовать в победившем предложении.
Check Paragraph (E), if desired.	По желанию включите следующее положение.
(E) Notwithstanding the provisions of Article 7.4(B), if for reasons other than the encountering of granite or other practically impenetrable substance or any other condition in the hole rendering further operations impracticable, a well drilled as an Exclusive Operation fails to reach the deepest objective Zone described in the notice proposing such well, Operator shall give notice of such failure to each Non-Consenting Party who submitted or voted for an alternative proposal under this Article 7.6 to drill such well to a shallower Zone than the deepest objective Zone proposed in the notice under which such well was drilled.	(Е) Несмотря на положения статьи 7.4(B), если по каким-либо причинам, иным, нежели столкновение с гранитными или другими практически непроходимыми породами либо наличие в стволе скважины каких-либо других помех, делающих дальнейшие операции неосуществимыми, какая-либо скважина, пробуренная в рамках Эксклюзивной Операции, не достигает целевой Зоны наиболее глубокого залегания, описанной в уведомлении с предложением такой скважины, то Оператор направляет уведомление об этом каждой Неприсоединившейся Стороне, подававшей альтернативное предложение или голосовавшей за него в соответствии с настоящей статьей 7.6, предлагая бурение такой скважины до Зоны, залегающей выше, нежели такая наиболее глубокая целевая Зона, предложенная в уведомлении, согласно которому была пробурена такая скважина.
Each such Non-Consenting Party shall have the option exercisable for forty-eight (48) hours from receipt of such notice to participate for its Participating Interest share in the initial proposed Completion of such well.	После этого каждая такая Неприсоединившаяся Сторона имеет право, подлежащее использованию в течение 48 (сорока восьми) часов с момента получения такого уведомления, принять участие, в рамках своей Доли Участия, в первоначально предлагавшемся Заканчивании такой скважины.
Each such Non-Consenting Party may exercise such option by notifying Operator that it wishes to participate in such Completion and by paying its Participating Interest share of the cost of drilling such well to its deepest depth drilled in the Zone in which it is Completed.	Каждая такая Неприсоединившаяся Сторона может использовать это право, уведомив Оператора о том, что она желает принять участие в таком Заканчивании, и оплатив соответствующую своей Доли Участия часть расходов на бурение такой скважины до самой глубокой точки, пробуренной в той Зоне, в которой проводится Заканчивание этой скважины.
All liabilities and expenses for drilling and Testing the Exclusive Well below that depth shall be for the sole account of the Consenting Parties.	Все обязательства и расходы, связанные с бурением и Тестированием Эксклюзивной Скважины ниже этой глубины, несут только Присоединившиеся Стороны.
If any such Non-Consenting Party does not properly elect to participate in the first Completion proposed for such well, the relinquishment provisions of Article 7.4(B) shall continue to apply to such Non-Consenting Party's interest.	Если какая-либо Неприсоединившаяся Сторона не направит надлежащего уведомления об участии в первом Заканчивании, предложенном в отношении такой скважины, то к такой Неприсоединившейся Стороне продолжают применяться положения об отказе от прав, изложенные в статье 7.4(B).
7.7 Stand-By Costs	7.7 Расходы на содержание неиспользуемых мощностей
(A) When an operation has been performed, all tests have been conducted and the results of such tests furnished to the Parties, stand by costs incurred pending response to any Party's notice proposing an Exclusive Operation for Deepening, Testing, Sidetracking, Completing, Plugging Back, Recompleting, Reworking or other further operation in such well (including the period required under Article 7.6 to resolve competing proposals) shall be charged and borne as part of the operation just completed.	(А) После того, как операция выполнена, все тесты проведены, и результаты таких тестов предоставлены Сторонам, расходы на содержание неиспользуемых мощностей, понесенные в ожидании ответа на уведомление какой-либо Стороны с предложением Эксклюзивной Операции по Углублению, Тестированию, Забуриванию Нового Ствола из Существующей Скважины, Заканчиванию, Тампонажу, Повторному Заканчиванию, Повторной Разработке или другой дополнительной операции в такой скважине (включая период, необходимый для рассмотрения конкурирующих предложений в соответствии со статьей 7.6), относятся на счет только что завершенной операции.
Stand by costs incurred subsequent to all Parties responding, or expiration of the response time permitted, whichever first occurs, shall be charged to and borne by the Parties proposing the Exclusive Operation in proportion to their Participating Interests, regardless of whether such Exclusive Operation is actually conducted.	Расходы на содержание неиспользуемых мощностей, понесенные после того, как каждая из Сторон направила свой ответ, или по истечении отведенного на направление ответов срока, в зависимости от того, что произойдет раньше, оплачиваются Сторонами, предложившими такую Эксклюзивную Операцию, пропорционально Долям Участия каждой из них, вне зависимости от того, будет ли в действительности проведена такая Эксклюзивная Операция.
(В) If a further operation related to Urgent Operational Matters is proposed while the drilling rig to be utilized is on location, any Party may request and receive up to five (5) additional Days after expiration of the applicable response period specified in Article 7.2(B)(1) within which to respond by notifying Operator that such Party agrees to bear all stand by costs and other costs incurred during such extended response period.	(В) Если какая-либо дополнительная операция, касающаяся Срочных Оперативных Вопросов, предложена в тот момент, когда буровая установка, которую предполагается использовать, находится на объекте, то любая Сторона может потребовать и получить не позднее, чем 5 (пяти) дополнительных Дней после истечения соответствующего срока, отведенного на направление ответов в статье 7.2(B)(1), и в течение этого дополнительного времени может дать ответ, уведомив Оператора о том, что такая Сторона согласна нести все расходы на содержание неиспользуемых мощностей и прочие расходы, понесенные в течение такого продленного срока подготовки ответов.
Operator may require such Party to pay the estimated stand by costs in advance as a condition to extending the response period.	В качестве условия продления срока на подготовку ответов Оператор может потребовать, чтобы такая Сторона авансом оплатила сметные расходы на содержание неиспользуемых мощностей.
If more than one Party requests such additional time to respond to the notice, stand by costs shall be allocated between such Parties on a Day-to-Day basis in proportion to their Participating Interests.	Если такого продления сроков на подготовку ответов потребовали несколько Сторон, то расходы на содержание неиспользуемых мощностей распределяются между такими Сторонами на ежедневной основе пропорционально их Долям Участия.
Check Article 7.8, if desired.	По желанию включите статью 7.8.
Renumber following articles if Article 7.8 is not selected.	Если статья 7.8 не будет включена в Соглашение, измените нумерацию следующих статей.
7.8 Special Considerations Regarding Deepening and Sidetracking	7.8 Особые положения, касающиеся Углубления и Забуривания Нового Ствола из Существующей Скважины
(A) An Exclusive Well shall not be Deepened or Sidetracked without first affording the Non-Consenting Parties in accordance with this Article 7.8 the opportunity to participate in such operation.	(A) Любое Углубление или Забуривание Нового Ствола из Существующей Скважины может проводиться в любой Эксклюзивной Скважине только после того, как Неприсоединившимся Сторонам в соответствии с настоящей статьей 7.8 будет предоставлена возможность принять участие в такой операции.
(B) In the event any Consenting Party desires to Deepen or Sidetrack an Exclusive Well, such Party shall initiate the procedure contemplated by Article 7.2.	(B) В том случае, если какая-либо Присоединившаяся Сторона желает Углубить Эксклюзивную Скважину или Забурить Новый Ствол из такой Эксклюзивной Скважины, то такая Сторона должна начать процедуру, предусмотренную в статье 7.2.
If a Deepening or Sidetracking operation is approved pursuant to such provisions, and if any Non-Consenting Party to the Exclusive Well elects to participate in such Deepening or Sidetracking operation, such Non-Consenting Party shall not owe amounts pursuant to Article 7.5(B), and such Non-Consenting Party's payment pursuant to Article 7.5(A) shall be such Non-Consenting Party's Participating Interest share of the liabilities and expenses incurred in connection with drilling the Exclusive Well from the surface to the depth previously drilled which such Non-Consenting Party would have paid had such Non-Consenting Party agreed to participate in such Exclusive Well; provided, however, all liabilities and expenses for Testing and Completing or attempting Completion of the well incurred by Consenting Parties prior to the commencement of actual operations to Deepen or Sidetrack beyond the depth previously drilled shall be for the sole account of the Consenting Parties.	Если операция по Углублению или Забуриванию Нового Ствола из Существующей Скважины будет одобрена в соответствии с положениями указанной статьи, и если какая-либо Неприсоединившаяся Сторона в отношении такой Эксклюзивной Скважины пожелает участвовать в таком Углублении или Забуривании Нового Ствола из Существующей Скважины, то такая Неприсоединившаяся Сторона не будет нести обязанности по уплате сумм в соответствии со статьей 7.5(B), и платеж такой Неприсоединившейся Стороны в соответствии со статьей 7.5(A) будет считаться долей такой Неприсоединившейся Стороны, соответствующей ее Доле Участия, в ответственности и расходах, понесенных в связи с бурением Эксклюзивной Скважины от поверхности до ранее пробуренной глубины, которую такая Неприсоединившаяся Сторона оплатила бы, если бы она согласилась участвовать в такой Эксклюзивной Скважине; при условии, однако, что вся ответственность и расходы в связи с Тестированием и Заканчиванием либо попытками Заканчивания скважины, понесенные Присоединившимися Сторонами до фактического начала операций по Углублению или Забуриванию Нового Ствола из Существующей Скважины ниже ранее пробуренной глубины, оплачиваются исключительно за счет Присоединившихся Сторон.
7.9 Use of Property	7.9 Использование имущества
(A) The Parties participating in any Deepening, Testing, Completing, Sidetracking, Plugging Back, Recompleting or Reworking of any well drilled under this Agreement shall be permitted to use (free of cost) all casing, tubing and other equipment in the well that is not needed for operations by the owners of the wellbore, but the ownership of all such equipment shall remain unchanged.	(A) Сторонам, принимающим участие в любой операции по Углублению, Тестированию, Заканчиванию, Забуриванию Нового Ствола из Существующей Скважины, Тампонажу, Повторному Заканчиванию или Повторной Разработке любой скважины, пробуренной в соответствии с настоящим Соглашением, разрешается использовать (безвозмездно) все оборудование обсадной колонны, трубопроводное и иное оборудование в скважине, которое не требуется для операций, проводимых владельцами ствола скважины, однако без перехода права собственности на все такое оборудование.
On abandonment of a well in which operations with differing participation have been conducted, the Parties abandoning the well shall account for all equipment in the well to the Parties owning such equipment by tendering to them their respective Participating Interest shares of the value of such equipment less the cost of salvage.	После ликвидации скважины, в которой проводились операции с различным участием, Стороны, ликвидирующие скважину, отчитываются за все скважинное оборудование перед Сторонами- владельцами такого оборудования, предложив им соответствующую их Доле Участия долю в стоимости такого оборудования за вычетом ликвидационной стоимости.
Check Paragraph (B), if desired.	По желанию включите пункт (В).
Renumber following paragraphs if Paragraph (B) is not selected.	Если пункт (B) не будет включен в Соглашение, измените нумерацию последующих пунктов.
(B) Any Party (whether owning interests in the platform or not) shall be permitted to use spare slots in a platform constructed pursuant to this Agreement for purposes of drilling Exploration Wells and/or Appraisal Wells and running tests in the Contract Area.	(В) Любой Стороне (как владеющей, так и не владеющей правами на платформу) разрешается использовать свободные буровые вырезы в платформе, построенной в соответствии с настоящим Соглашением, для целей бурения Разведочных Скважин и/или Оценочных Скважин и отбора проб на Контрактной Территории.
No Party except an owner of a platform may drill Development Wells or run production from a well (except production resulting from initial well tests) from the platform without the prior written consent of all platform owners.	Ни одна из Сторон, за исключением владельца платформы, не может бурить Эксплуатационные Скважины или осуществлять добычу из скважины (за исключением добычи, являющейся результатом первоначального отбора проб из скважины) с такой платформы без предварительного письменного согласия всех владельцев платформы.
If all owners of the platform participate in the drilling of a well, then no fee shall be payable under this Article 7.9(B).	Если все владельцы платформы принимают участие в бурении скважины, то сбор, предусмотренный настоящей статьей 7.9(B), не взимается.
Otherwise, each time a well is drilled from a platform, the Consenting Parties in the well shall pay to the owners of the platform until all wells drilled by such Parties have been plugged and abandoned a monthly fee equal to (1) that portion of the total cost of the platform (including costs of material, fabrication, transportation and installation), divided by the number of months of useful life established for the platform under the tax law of the host country, that one well slot bears to the total number of slots on the platform plus (2) that proportionate part of the monthly cost of operating, maintaining and financing the platform that the well drilled under this Article 7.9(B) bears to the total number of wells served by such platform.	В противном случае каждый раз, когда производится бурение скважины с платформы, Присоединившиеся Стороны по такой скважине выплачивают владельцам платформы до тех пор, пока все скважины, пробуренные такими Сторонами, не будут заглушены и ликвидированы, ежемесячный сбор, составляющий (1) ту часть от совокупной стоимости платформы (включая стоимость материалов, производства, транспортировки и установки), поделенной на количество месяцев полезной эксплуатации, установленное для платформы согласно налоговому законодательству страны, где ведутся операции, которая равна отношению одного бурового выреза к общему числу буровых вырезов платформы, плюс (2) та пропорциональная часть от ежемесячных расходов на эксплуатацию, обслуживание и финансирование платформы, которая равна отношению скважины, пробуренной в соответствии с настоящей статьей 7.9(B), к общему числу скважин, обслуживаемых такой платформой.
Consenting Parties who have paid to drill a well from a platform under this Article 7.9(B) shall be entitled to Deepen or Sidetrack that well for no additional charge if done prior to moving the drilling rig off of location.	Присоединившиеся Стороны, оплатившие бурение скважины с платформы в соответствии с настоящей статьей 7.9(B), имеют право Углубить эту скважину или Забурить Новый Ствол из этой скважины без каких бы то ни было дополнительных расходов, если это сделано до перемещения буровой установки с данного объекта.
Renumber following paragraphs if Paragraph (C) is not selected.	Если пункт (С) не будет включен в Соглашение, измените нумерацию последующих пунктов.
(С) Spare capacity in equipment that is (C) constructed pursuant to this Agreement and used for processing or transporting Crude Oil and Natural Gas after it has passed through primary separators and dehydrators (including treatment facilities, gas processing plants and pipelines) shall be available for use by any Party for Hydrocarbon production from the Contract Area on the terms set forth below.	(С) Резервные мощности оборудования, построенного в соответствии с настоящим Соглашением и используемого для переработки или транспортировки Сырой Нефти и Природного Газа после их прохождения через первичные сепараторы и дегидраторы (включая сооружения для очистки, станции по переработке газа и трубопроводы), должны быть доступны для использования любой Стороной для добычи Углеводородов на Контрактной Территории на изложенных ниже условиях.
All Parties desiring to use such equipment shall nominate capacity in such equipment on a monthly basis by notice to Operator at least ten (10) Days prior to the beginning of each month.	Все Стороны, желающие использовать такое оборудование, в уведомлении Оператору по меньшей мере за 10 (десять) Дней до начала каждого месяца указывают часть мощности такого оборудования, необходимую им на предстоящий месяц.
Operator may nominate capacity for the owners of the equipment if they so elect.	По решению владельцев оборудования Оператор может распределять мощность оборудования.
If at any time the capacity nominated exceeds the total capacity of the equipment, the capacity of the equipment shall be allocated in the following priority: (1) first, to the owners of the equipment up to their respective Participating Interest shares of total capacity, (2) second, to owners of the equipment desiring to use capacity in excess of their Participating Interest shares, in proportion to the Participating Interest of each such Party and (3) third, to Parties not owning interests in the equipment, in proportion to their Participating Interests in the Agreement.	Если в какой-либо момент затребованная мощность превысит совокупную мощность оборудования, то мощность оборудования распределяется в следующей очередности: (1) во-первых, владельцам оборудования в пределах Долей Участия каждого из них в совокупной мощности; (2) во-вторых, владельцам оборудования, желающим использовать мощность сверх своих Долей Участия, пропорционально Долям Участия каждой такой Стороны; и (3) в-третьих, Сторонам, не являющимся владельцами оборудования, пропорционально их Долям Участия в Соглашении.
Owners of the equipment shall be entitled to use up to their Participating Interest share of total capacity without payment of a fee under this Article 7.9(C).	Владельцы оборудования имеют право использовать часть совокупной мощности в пределах своей Доли Участия без уплаты сбора, предусмотренного в статье 7.9(C).
Otherwise, each Party using equipment pursuant to this Article 7.9(C) shall pay to the owners of the equipment monthly throughout the period of use an arm's-length fee based upon third party charges for similar services in the vicinity of the Contract Area.	Во всех остальных случаях каждая Сторона, использующая оборудование в соответствии с настоящей статьей 7.9(C), выплачивает владельцам оборудования ежемесячно в течение всего периода использования оборудования сбор, размер которого устанавливается на обычных коммерческих условиях между независимыми контрагентами, исходя из сборов, взимаемых с третьих лиц за аналогичные услуги вблизи Контрактной Территории.
If no arm's-length rates for such services are available, then the Party desiring to use equipment pursuant to this Article 7.9(C) shall pay to the owners of the equipment a monthly fee equal to (1) that portion of the total cost of the equipment, divided by the number of months of useful life established for such equipment under the tax law of the host country, that the capacity made available to such Party on a fee basis under this Article 7.9(C) bears to the total capacity of the equipment plus (2) that portion of the monthly cost of maintaining, operating and financing the equipment that the capacity made available to such Party on a fee basis under this Article 7.9(C) bears to the total capacity of the equipment.	Если независимые коммерческие ставки за такие услуги не установлены, то Сторона, желающая использовать оборудование в соответствии с настоящей статьей 7.9(C), выплачивает владельцам оборудования ежемесячный сбор, равный (1) той части от совокупной стоимости оборудования, поделенной на количество месяцев полезной эксплуатации, установленное для такого оборудования согласно налоговому законодательству страны, где ведутся операции, которая равна отношению мощности, предоставленной такой Стороне в обмен на уплату сбора в соответствии с настоящей статьей 7.9(C), к совокупной мощности оборудования, плюс (2) та часть ежемесячных расходов на обслуживание, эксплуатацию и финансирование оборудования, которая равна отношению мощности, предоставленной такой Стороне в обмен на уплату сбора в соответствии с настоящей статьей 7.9(C), к совокупной мощности оборудования.
Check, if desired, Paragraph (D) in conjunction with Paragraph (B) or (C).	По желанию включите пункт (D) в сочетании с пунктом (В) или (С).
Renumber following paragraph if Paragraph (D) is not selected.	Если пункт (D) не будет включен в Соглашение, измените нумерацию последующего пункта.
(D) Payment for the use of a platform under Article 7.9(B) or the use of equipment under Article 7.9(C) shall not result in an acquisition of any additional interest in the equipment or platform by the paying Parties.	(D) Платежи за пользование платформой в соответствии со статьей 7.9(B) или за пользование оборудованием в соответствии со статьей 7.9(C) не ведут к приобретению Сторонами- плательщиками каких-либо дополнительных прав или долей участия в оборудовании или платформе.
However, such payments shall be included in the costs which the paying Parties are entitled to recoup under Article 7.5.	Однако такие платежи включаются в расходы, на возмещение которых Стороны- плательщики имеют право в соответствии со статьей 7.5.
